ARISHTAS & ASAVAS,,,,,,,
,,,,,,,
Medicine Name,Code,Unit,Basic Price,MRP,Loose Unit,Loose Basic Price,Loose MRP
Cheriya Chinchadi Leham*,FGL111,200g,128.55,135,1 g,0.65,0.68
Cheriya MadhusnuhiRasayanam*,FGL129,200g,104.75,110,1 g,0.53,0.55
Chitrakaleham*,FGL113,200g,228.55,240,1 g,1.15,1.2
Chyavanaprasam,FGL114,500g,242.85,255,,,
Dantharihaki Leham*,FGL119,200g,152.35,160,1 g,0.77,0.8
DasamulaRasayanam,FGL156,50g,53.55,60,1 g,1,1.2
DasamulaRasayanam,FGL120,200g,178.55,200,1 g,0.9,1
Dasamulaharitaki Leham*,FGL121,200g,90.45,95,1 g,0.46,0.48
Drakshadi Leham*,FGL122,200g,171.4,180,1 g,0.86,0.9
Gandharaja Rasayanam*,FGL110,200g,385.7,405,1 g,1.93,2.03
Haridrakhandam*,FGL147,100g,85.7,90,,,
Haridramrichadi Leham*,FGL152,200g,152.35,160,,,
Haritakyadi Rasayanam,FGL102,200g,107.1,120,1 g,0.54,0.6
HinguTriguna Leham*,FGL142,200g,166.65,175,1 g,0.84,0.88
Kalyanamgula*,FGL106,200g,90.45,95,1 g,0.46,0.48
Kusamanda Rasayanam*,FGL109,200g,104.75,110,1 g,0.53,0.55
Kusamanda Rasayanam*,FGL161,500g,233.3,245,,,
Kutajatwagadi Leham,FGL108,200g,104.75,110,1 g,0.53,0.55
Laxakot,FGL151,200g,120.5,135,1 g,0.61,0.68
Mahavilwadi Leham,FGL131,200g,93.75,105,1 g,0.47,0.53
Manibhadra Leham*,FGL132,200g,95.2,100,1 g,0.48,0.5
Manibhadra Leham*,FGL159,50g,33.3,35,,,
Mridwikadi Leham*,FGL133,200g,114.25,120,1 g,0.58,0.6
Mridwikadi Leham*,FGL123,200g,128.55,135,,,
Narasimha Rasayanam*,FGL145,500g,285.7,300,1 g,0.58,0.6
Narayanagulam,FGL124,200g,178.55,200,1 g,0.9,1
Panchajirakagudam*,FGL160,500g,271.4,285,,,
Parushakadi Leham,FGL125,200g,147.3,165,1 g,0.74,0.83
Pulileham (pulimkuzhampu)*,FGL127,50gm,85.7,90,-,-,-
Punarnavamanduram*,FGL126,200g,90.45,95,1 g,0.46,0.48
Satavarigulam*,FGL138,200g,128.55,135,1 g,0.65,0.68
Satavarigulam*,FGL146,500g,285.7,300,1 g,,
Stanyajanana Rasayanam,FGL139,200g,107.1,120,1 g,0.54,0.6
